what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1367963001893
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1367963001893
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1367963001894
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1367963001895
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1367963001895
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1367963001896
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1367963001896
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1367963001897
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1367963001898
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1367963001899
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1367963001899
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1367963001901
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1367963001902
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1367963001903
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1367963001903
started,bundle,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.adt",1367963001903
started,bundle,com.android.ide.eclipse.base,21.1.0.v201302060044-569685,"com.android.ide.eclipse.base",1367963001904
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1367963001904
os,sysinfo,,,"win32",1367963001907
arch,sysinfo,,,"x86",1367963001907
ws,sysinfo,,,"win32",1367963001907
locale,sysinfo,,,"en_US",1367963001907
processors,sysinfo,,,"8",1367963001907
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1367963001907
java.runtime.version,sysinfo,,,"1.7.0_03-b05",1367963001907
java.specification.name,sysinfo,,,"Java Platform API Specification",1367963001907
java.specification.vendor,sysinfo,,,"Oracle Corporation",1367963001907
java.specification.version,sysinfo,,,"1.7",1367963001907
java.vendor,sysinfo,,,"Oracle Corporation",1367963001907
java.version,sysinfo,,,"1.7.0_03",1367963001907
java.vm.info,sysinfo,,,"mixed mode, sharing",1367963001907
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1367963001907
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1367963001907
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1367963001907
java.vm.specification.version,sysinfo,,,"1.7",1367963001907
java.vm.vendor,sysinfo,,,"Oracle Corporation",1367963001907
java.vm.version,sysinfo,,,"22.1-b02",1367963001907
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1367963001910
started,bundle,org.eclipse.m2e.core,1.0.100.20110804-1717,"org.eclipse.m2e.core",1367963002277
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1367963002288
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1367963002364
